request_url,status_code,elapsed_time,encoding,content_encoding,entity_tag,extract_link,specific_word,specific_word_exist
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/awards-central/?ref_=nv_ev_awrd,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://twitch.tv/IMDb,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://help.imdb.com/article/issues/G6TCMBKAAR5G95EN?ref_=loc_nav_sel_hlp,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/what-to-watch/popular/?ref_=hm_watch_pop,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://help.imdb.com/article/imdb/general-information/why-do-i-need-to-enable-my-cookies-on-imdb/GWE3JQ8VUQDCFW3Q?ref_=helpsrall#,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls561781640/?ref_=hm_edcep_pks_septtv_ft_5_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/gallery/rg1412406016/mediaviewer/rm4109010688?ref_=hm_edcft_pks_memor_lf_6_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls053181649/videoplayer/vi776454681?ref_=hp_hp_e_5,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/title/tt15791034/?ref_=hm_cht_4,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/chart/moviemeter/?ref_=nv_mv_mpm,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/family-entertainment-guide/lgbtqia-stars/rg3649018624/mediaviewer/rm3181708033/?ref_=hm_edcft_ft_g_lgbttrending_2_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/what-to-watch/watch-guides/?ref_=hm_watch_wchgd,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/gallery/rg1624939264/mediaviewer/rm466486017?ref_=hm_edcft_hp_g_lp_7_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://youtube.com/imdb/,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/podcasts/?ref_=nv_pod,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/video/vi2506211865/?listId=ls053181649&ref_=hm_edcft_ft_wtw_fall22_4_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/what-to-watch/from-your-watchlist/?ref_=hm_wls_sm,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/?ref_=nv_home,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/what-to-watch/fan-favorites/?ref_=hm_fanfav_sm,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://twitter.com/imdb,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/gallery/rg1624939264/mediaviewer/rm466486017?ref_=hm_edcft_hp_g_lp_7_i,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/what-to-watch?ref_=hm_watch_btn,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/gallery/rg1412406016/mediaviewer/rm4109010688?ref_=hm_edcft_pks_memor_lf_6_i,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/chart/toptv/?ref_=nv_tvv_250,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/family-entertainment-guide/october-picks/ls561424109/mediaviewer/rm1660687361/?ref_=hm_edcft_ft_pks_oct22_1_i,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls025720609/videoplayer/vi742900249?ref_=hp_hp_e_2,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/poll/2DOC8uLEUlk/?ref_=hm_edcep_pls_092422_3_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/imdbpicks/hispanic-heritage-month/?ref_=nv_ev_hlm,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/starmeterawards/?ref_=nv_ev_sma,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/title/tt0499549/?ref_=hm_cht_3,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/video/vi2892415513/?listId=ls561376552&ref_=hm_edcio_mobi_og_andor_1_5_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/india/tv?ref_=nv_tv_in,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls053181649/videoplayer/vi1766179353?ref_=hp_hp_e_15,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/video/vi1497874969/?listId=ls025720609&ref_=hm_edcio_og_nsp_ada_2_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls561523793/?ref_=hm_edcep_wtw_prime_sept22_2_i,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls561595365/?ref_=hm_edcep_wtw_netflix_sept22_6_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://help.imdb.com/imdb,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls561523793/?ref_=hm_edcep_wtw_prime_sept22_2_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls561596028/?ref_=hm_edcep_wtw_prime_sept22_8_t,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://facebook.com/imdb,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://www.imdb.com/search/name/?match_all=true&ref_=nv_cel_m,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",https://m.imdb.com/chart/starmeter/?ref_=nv_cel_brn,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/news/top/?ref_=hm_nw_tp_tb,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/news/ni63772840/?ref_=hm_nw_tp_4,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/list/ls561781640/?ref_=hm_edcep_pks_septtv_ft_5_i,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/title/tt8093700/?ref_=hm_cht_2,prime video,True
https://www.imdb.com,200,0.940256,utf-8,gzip,"""c850b-KTBxGOnS1tVMMUD9M2DOjotuQ4g""",/news/top/?ref_=hm_nw_sm,prime video,True
